Nome;Codice AT
ALBANIA;Z100
ANDORRA;Z101
AUSTRIA;Z102
BELGIO;Z103
BULGARIA;Z104
DANIMARCA;Z107
FINLANDIA;Z109
FRANCIA;Z110
GERMANIA;Z112
REGNO UNITO;Z114
GRECIA;Z115
IRLANDA;Z116
ISLANDA;Z117
LIECHTENSTEIN;Z119
LUSSEMBURGO;Z120
MALTA;Z121
MONACO;Z123
NORVEGIA;Z125
PAESI BASSI;Z126
POLONIA;Z127
PORTOGALLO;Z128
ROMANIA;Z129
SAN MARINO;Z130
SPAGNA;Z131
SVEZIA;Z132
SVIZZERA;Z133
UCRAINA;Z138
UNGHERIA;Z134
FEDERAZIONE RUSSA;Z154
STATO DELLA CITTÀ DEL VATICANO;Z106
ESTONIA;Z144
LETTONIA;Z145
LITUANIA;Z146
CROAZIA;Z149
SLOVENIA;Z150
BOSNIA-ERZEGOVINA;Z153
MACEDONIA DEL NORD;Z148
MOLDOVA;Z140
SLOVACCHIA;Z155
BIELORUSSIA;Z139
REPUBBLICA CECA;Z156
MONTENEGRO;Z159
SERBIA;Z158
KOSOVO;Z160
AFGHANISTAN;Z200
ARABIA SAUDITA;Z203
BAHREIN;Z204
BANGLADESH;Z249
BHUTAN;Z205
MYANMAR/BIRMANIA;Z206
BRUNEI DARUSSALAM;Z207
CAMBOGIA;Z208
SRI LANKA;Z209
CINA;Z210
CIPRO;Z211
COREA DEL NORD;Z214
COREA DEL SUD;Z213
EMIRATI ARABI UNITI;Z215
FILIPPINE;Z216
PALESTINA;Z161
GIAPPONE;Z219
GIORDANIA;Z220
INDIA;Z222
INDONESIA;Z223
IRAN;Z224
IRAQ;Z225
ISRAELE;Z226
KUWAIT;Z227
LAOS;Z228
LIBANO;Z229
TIMOR LESTE;Z242
MALDIVE;Z232
MALAYSIA;Z247
MONGOLIA;Z233
NEPAL;Z234
OMAN;Z235
PAKISTAN;Z236
QATAR;Z237
SINGAPORE;Z248
SIRIA;Z240
THAILANDIA;Z241
TURCHIA;Z243
VIETNAM;Z251
YEMEN;Z246
KAZAKHSTAN;Z255
UZBEKISTAN;Z259
ARMENIA;Z252
AZERBAIGIAN;Z253
GEORGIA;Z254
KIRGHIZISTAN;Z256
TAGIKISTAN;Z257
TAIWAN;Z217
TURKMENISTAN;Z258
ALGERIA;Z301
ANGOLA;Z302
COSTA D'AVORIO;Z313
BENIN;Z314
BOTSWANA;Z358
BURKINA FASO;Z354
BURUNDI;Z305
CAMERUN;Z306
CAPO VERDE;Z307
REPUBBLICA CENTRAFRICANA;Z308
CIAD;Z309
COMORE;Z310
CONGO;Z311
EGITTO;Z336
ETIOPIA;Z315
GABON;Z316
GAMBIA;Z317
GHANA;Z318
GIBUTI;Z361
GUINEA;Z319
GUINEA-BISSAU;Z320
GUINEA EQUATORIALE;Z321
KENYA;Z322
LESOTHO;Z359
LIBERIA;Z325
LIBIA;Z326
MADAGASCAR;Z327
MALAWI;Z328
MALI;Z329
MAROCCO;Z330
MAURITANIA;Z331
MAURIZIO;Z332
MOZAMBICO;Z333
NAMIBIA;Z300
NIGER;Z334
NIGERIA;Z335
RUANDA;Z338
SAO TOMÉ E PRINCIPE;Z341
SEYCHELLES;Z342
SENEGAL;Z343
SIERRA LEONE;Z344
SOMALIA;Z345
SUDAFRICA;Z347
SUDAN;Z348
ESWATINI;Z349
TANZANIA;Z357
TOGO;Z351
TUNISIA;Z352
UGANDA;Z353
REPUBBLICA DEMOCRATICA DEL CONGO;Z312
ZAMBIA;Z355
ZIMBABWE;Z337
ERITREA;Z368
SUD SUDAN;Z907
